items,bidders,name,below 0,mean,std
5,5,"(5, 5)",0,6.4,4.317406628984581
10,5,"(10, 5)",1,-8.4,15.90723106011854
20,5,"(20, 5)",0,-0.6,1.2000000000000002
5,10,"(5, 10)",5,-8.2,13.96280774056565
5,20,"(5, 20)",14,-1.2,35.77932363810138
