items,bidders,name,below 0,mean,std
5,5,"(5, 5)",0,6.4,4.317406628984581
10,5,"(10, 5)",0,1.2,1.4696938456699067
20,5,"(20, 5)",0,2.0,0.6324555320336759
5,10,"(5, 10)",2,11.6,6.216108107168021
5,20,"(5, 20)",7,18.2,24.70141696340516
