items,bidders,name,below 0,mean,std
    5,5,"(5, 5)",0,6.4,4.317406628984581
    10,5,"(10, 5)",0,1.2,1.4696938456699067
    20,5,"(20, 5)",0,2.0,0.6324555320336759
    5,10,"(5, 10)",0,9.8,5.3814496188294845
    5,20,"(5, 20)",2,12.8,14.496896219536099
